Analysis_Section,Metric,Value,Loan_ID,Risk_Score,Risk_Category,Default_Status,Major,Default_Rate_Pct,Avg_Risk_Score,Avg_Income,Avg_Loan_Amount,Employment_Status,Citizenship,Degree_Level,Recommendation_Number,Recommendation_Text
Summary_Statistics,Total_Loans,50,,,,,,,,,,,,,,
Summary_Statistics,Default_Rate,40.0,,,,,,,,,,,,,,
Summary_Statistics,Avg_Income_Default_Yes,36325.0,,,,,,,,,,,,,,
Summary_Statistics,Avg_Income_Default_No,92033.33333333333,,,,,,,,,,,,,,
Summary_Statistics,Avg_Loan_Amount,39230.0,,,,,,,,,,,,,,
Summary_Statistics,Avg_Interest_Rate,7.968,,,,,,,,,,,,,,
Summary_Statistics,Avg_Monthly_Payment,404.8,,,,,,,,,,,,,,
Summary_Statistics,Avg_DTI_Ratio,0.09759999999999999,,,,,,,,,,,,,,
Individual_Assessments,,,UCH001,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH002,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH003,6,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH004,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH005,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH006,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH007,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH008,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH009,6,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH010,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH011,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH012,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH013,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH014,6,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH015,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH016,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH017,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH018,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH019,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH020,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH021,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH022,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH023,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH024,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH025,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH026,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH027,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH028,6,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH029,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH030,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH031,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH032,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH033,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH034,9,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH035,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH036,6,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH037,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH038,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH039,9,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH040,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH041,9,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH042,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH043,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH044,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH045,1,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH046,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH047,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH048,0,Low,No,,,,,,,,,,
Individual_Assessments,,,UCH049,7,High,Yes,,,,,,,,,,
Individual_Assessments,,,UCH050,1,Low,No,,,,,,,,,,
Risk_By_Major,,,,,,,Anthropology,100.0,7.0,39500.0,44500.0,,,,,
Risk_By_Major,,,,,,,Art History,100.0,7.0,35000.0,44000.0,,,,,
Risk_By_Major,,,,,,,Biology,0.0,1.0,52000.0,38000.0,,,,,
Risk_By_Major,,,,,,,Biomedical Engineering,0.0,0.0,112000.0,31500.0,,,,,
Risk_By_Major,,,,,,,Business Analytics,0.0,0.0,108000.0,30500.0,,,,,
Risk_By_Major,,,,,,,Chemistry,0.0,1.0,55000.0,36000.0,,,,,
Risk_By_Major,,,,,,,Classics,100.0,7.0,35500.0,47500.0,,,,,
Risk_By_Major,,,,,,,Computer Engineering,0.0,0.0,125000.0,29000.0,,,,,
Risk_By_Major,,,,,,,Computer Science,0.0,0.33,94000.0,35000.0,,,,,
Risk_By_Major,,,,,,,Creative Writing,100.0,9.0,32000.0,49000.0,,,,,
Risk_By_Major,,,,,,,Data Science,0.0,0.0,105500.0,28500.0,,,,,
Risk_By_Major,,,,,,,Drama,100.0,9.0,30000.0,50000.0,,,,,
Risk_By_Major,,,,,,,Economics,0.0,0.75,78500.0,35500.0,,,,,
Risk_By_Major,,,,,,,Electrical Engineering,0.0,0.0,118000.0,32500.0,,,,,
Risk_By_Major,,,,,,,Engineering,0.0,0.0,115000.0,30000.0,,,,,
Risk_By_Major,,,,,,,English,100.0,6.0,38000.0,42000.0,,,,,
Risk_By_Major,,,,,,,Environmental Science,0.0,1.0,49000.0,40000.0,,,,,
Risk_By_Major,,,,,,,Film Studies,100.0,9.0,31000.0,49500.0,,,,,
Risk_By_Major,,,,,,,Finance,0.0,0.0,119000.0,33500.0,,,,,
Risk_By_Major,,,,,,,Gender Studies,100.0,6.0,38500.0,43500.0,,,,,
Risk_By_Major,,,,,,,History,100.0,7.0,36250.0,45000.0,,,,,
Risk_By_Major,,,,,,,Law,0.0,0.0,85000.0,45000.0,,,,,
Risk_By_Major,,,,,,,Linguistics,100.0,7.0,36500.0,46500.0,,,,,
Risk_By_Major,,,,,,,MBA,0.0,0.0,140000.0,35000.0,,,,,
Risk_By_Major,,,,,,,Machine Learning,0.0,0.0,130000.0,27000.0,,,,,
Risk_By_Major,,,,,,,Mathematics,0.0,0.67,78666.67,35666.67,,,,,
Risk_By_Major,,,,,,,Music,100.0,7.0,33000.0,48500.0,,,,,
Risk_By_Major,,,,,,,Neuroscience,0.0,1.0,60000.0,33000.0,,,,,
Risk_By_Major,,,,,,,Philosophy,100.0,6.5,36750.0,47000.0,,,,,
Risk_By_Major,,,,,,,Physics,0.0,1.0,76500.0,43500.0,,,,,
Risk_By_Major,,,,,,,Political Science,100.0,6.0,42000.0,42500.0,,,,,
Risk_By_Major,,,,,,,Psychology,100.0,6.0,41000.0,43000.0,,,,,
Risk_By_Major,,,,,,,Public Policy,0.0,0.0,78000.0,39000.0,,,,,
Risk_By_Major,,,,,,,Religious Studies,100.0,7.0,37000.0,45500.0,,,,,
Risk_By_Major,,,,,,,Sociology,100.0,7.0,38750.0,46000.0,,,,,
Risk_By_Major,,,,,,,Statistics,0.0,0.0,100000.0,31000.0,,,,,
Risk_By_Major,,,,,,,Theater,100.0,7.0,34000.0,47000.0,,,,,
Risk_By_Employment,,,,,,,,0.0,0.4,92033.33,,Employed,,,,
Risk_By_Employment,,,,,,,,100.0,7.05,36325.0,,Unemployed,,,,
Risk_By_Citizenship,,,,,,,,0.0,1.0,91000.0,,,International,,,
Risk_By_Citizenship,,,,,,,,42.55,3.19,68393.62,,,U.S.,,,
Risk_By_Degree,,,,,,,,68.97,5.17,43189.66,,,,Bachelor,,
Risk_By_Degree,,,,,,,,0.0,0.0,85000.0,,,,JD,,
Risk_By_Degree,,,,,,,,0.0,0.0,110937.5,,,,Master,,
Risk_By_Degree,,,,,,,,0.0,0.75,93750.0,,,,PhD,,
Recommendations,,,,,,,,,,,,,,,1,High-risk loans identified: 20 out of 50 total loans
Recommendations,,,,,,,,,,,,,,,2,Unemployed borrowers have a default rate of 100.00%
Recommendations,,,,,,,,,,,,,,,3,Average default rate across all loans: 40.00%
Recommendations,,,,,,,,,,,,,,,4,Consider enhanced monitoring for high-risk borrowers
Recommendations,,,,,,,,,,,,,,,5,Focus financial counseling on unemployed and low-income borrowers
